 110	  43	  44
 124	  56	 123
 111	  44	  45
 125	  57	 124
 112	  45	  46
 126	  58	 125
 114	 112	  46
 204	 199	 114
 113	  81	  12
 127	  60	  59
 114	  46	   4
 206	 204	  84
 115	  48	  47
 226	 225	 195
 212	 152	 196
 116	  49	  48
 177	 117	 176
 117	  50	  49
 213	 178	 177
 118	  51	  50
 214	 153	 178
 119	  52	  51
 215	 153	 214
 120	  53	  52
 216	 154	 215
 121	  54	  53
 217	 155	 216
 122	  55	  54
 218	 156	 217
 123	  56	  55
 219	 157	 218
 124	  57	  56
 220	 158	 219
 125	  58	  57
 235	 159	 220
 126	  59	  58
 237	 207	 200
 127	 113	  60
 128	  61	  14
 201	  14	 143
 231	 209	 187
 129	  62	  61
 231	 187	 188
 130	  63	  62
 230	 188	 189
 131	  64	  63
 229	 189	 190
 132	  65	  64
 227	 191	 192
 133	  66	  65
 227	 192	 222
 134	  67	  66
 222	 192	 193
 135	  68	  67
 223	 193	 194
 136	  69	  68
 195	 137	 168
 137	  70	  69
 221	 212	 196
 138	  71	  70
 196	 139	 175
 139	  72	  71
 152	 149	 140
 140	  73	  72
 141	  16	  17
 141	  17	  85
 142	  77	  78
 142	  78	 141
 143	  14	  75
 145	  75	  76
 238	 202	 197
 144	  76	  77
 238	 197	 203
 145	 143	  75
 146	  81	 113
 200	 113	 127
 147	  10	   9
 206	 147	  83
 148	 105	   3
 148	   3	  87
 149	 115	  74
 149	  73	 140
 150	  22	  23
 170	 150	  86
 169	  92	  93
 241	 151	 169
 152	 116	 115
 225	 221	 175
 178	 119	 118
 216	 215	 180
 217	 216	 181
 154	 121	 120
 218	 217	 182
 155	 122	 121
 219	 218	 183
 156	 123	 122
 220	 219	 184
 157	 124	 123
 235	 220	 185
 158	 125	 124
 237	 235	 186
 159	 126	 125
 237	 186	 199
 160	 127	 126
 161	  96	  97
 173	  97	  98
 198	 129	 128
 231	 188	 230
 230	 189	 229
 163	 131	 130
 229	 190	 228
 164	 132	 131
 228	 191	 227
 165	 133	 132
 174	 166	 134
 223	 222	 193
 226	 223	 194
 167	 136	 135
 210	 194	 105
 168	 137	 136
 170	  93	 150
 172	  95	  96
 170	  86	  94
 171	  94	  95
 172	 171	  95
 242	 170	 171
 236	 208	 233
 241	 208	 203
 173	 161	  97
 187	 173	  98
 174	 134	 133
 228	 190	 191
 175	 139	 138
 195	 175	 138
 224	 176	 212
 176	 117	 116
 211	 148	  87
 177	 118	 117
 178	 153	 119
 178	 118	 177
 179	  87	  89
 180	 179	  89
 180	  89	 106
 181	 180	 106
 181	 106	 107
 182	 181	 107
 182	 107	 108
 183	 182	 108
 183	 108	 109
 184	 183	 109
 184	 109	 110
 185	 184	 110
 185	 110	 111
 186	 185	 111
 186	 111	 112
 199	 186	 112
 187	  98	  99
 188	 187	  99
 188	  99	 100
 189	 188	 100
 189	 100	 101
 190	 189	 101
 190	 101	 102
 191	 190	 102
 191	 102	  88
 192	 191	  88
 192	  88	 103
 193	 192	 103
 193	 103	 104
 194	 193	 104
 194	 104	 105
 226	 210	 225
 195	 138	 137
 226	 168	 223
 196	 152	 140
 196	 140	 139
 197	  90	  91
 197	  91	 151
 198	 162	 129
 236	 128	 201
 199	 112	 114
 204	 114	  84
 200	 146	 113
 200	 127	 160
 201	 128	  14
 208	 143	 203
 202	 142	  85
 202	  90	 197
 203	 143	 145
 238	 203	 145
 206	  84	 147
 207	 204	 146
 205	  79	  80
 205	  15	  16
 243	  83	  82
 206	 146	 204
 207	 146	 200
 207	 199	 204
 233	 208	 232
 208	 201	 143
 209	 162	 198
 209	 173	 187
 210	 105	 148
 239	 225	 210
 239	 224	 221
 211	  87	 179
 240	 239	 148
 212	 176	 152
 214	 213	 211
 224	 177	 176
 215	 214	 179
 214	 178	 213
 215	 154	 153
 215	 179	 180
 216	 155	 154
 216	 180	 181
 217	 156	 155
 217	 181	 182
 218	 157	 156
 218	 182	 183
 219	 158	 157
 219	 183	 184
 220	 159	 158
 220	 184	 185
 221	 196	 175
 240	 224	 239
 222	 167	 166
 227	 222	 166
 223	 168	 167
 223	 167	 222
 224	 213	 177
 224	 212	 221
 225	 175	 195
 239	 210	 148
 226	 195	 168
 226	 194	 210
 227	 166	 174
 228	 227	 174
 228	 174	 165
 229	 228	 165
 229	 165	 164
 230	 229	 164
 230	 164	 163
 231	 230	 163
 231	 163	 162
 231	 162	 209
 232	 171	 172
 233	 232	 172
 233	 172	 161
 234	 233	 161
 234	 161	 173
 236	 198	 128
 235	 160	 159
 235	 185	 186
 236	 201	 208
 236	 233	 234
 237	 160	 235
 237	 199	 207
 238	 145	 144
 238	 144	 202
 240	 148	 211
 239	 221	 225
 240	 211	 213
 240	 213	 224
 241	 203	 151
 242	 241	 169
 242	 169	 170
 242	 171	 232
 243	  82	  81
 243	 146	 206
